month,employer_id,market,revenue,revenue_minus_direct_costs
2015-01-01,9chMy7swbDZ3sqaDCqLlLUQDsMY=,sf-bay-area,0,0
2015-01-01,3laXJ20VXJNgfEa0zEbBnjD3Cos=,sf-bay-area,250,50
2015-01-01,nHCU9OfsFRequzQshFD1qypEJVc=,sf-bay-area,250,0
2015-01-01,khcezEHqw5MZCSE5QdioEP08ZaI=,other,0,0
2015-02-01,ldW+l2PmzbyDN38Q2cKswMNO6k0=,sf-bay-area,0,0
2015-02-01,6b8e086+uF3yjICwYmkyjStkr2Y=,sf-bay-area,1750,0
2015-02-01,s+CNdbBIjHYCYnme96WpO13N5Tk=,sf-bay-area,1000,0
2015-02-01,cbQNhmRdP2lNObiZKtUrBZ6k7RE=,sf-bay-area,250,0
2015-02-01,FXttqP7Xc1aszlvwJl0MKK+ez7U=,sf-bay-area,750,50
2015-02-01,9chMy7swbDZ3sqaDCqLlLUQDsMY=,sf-bay-area,250,0
2015-02-01,UxlYqhQKOQdMA+eASb2reWDzhx0=,sf-bay-area,0,0
2015-02-01,3laXJ20VXJNgfEa0zEbBnjD3Cos=,sf-bay-area,250,0
2015-02-01,nHCU9OfsFRequzQshFD1qypEJVc=,sf-bay-area,1000,0
2015-02-01,khcezEHqw5MZCSE5QdioEP08ZaI=,other,0,0
2015-02-01,U2MYPyQmEYO6IuFJkhyj12xO1fY=,sf-bay-area,250,0
2015-02-01,uDICpnpBkHTID3oJw6CsFew4ZBY=,sf-bay-area,0,0
2015-02-01,JfydLzcp3YymYIJqoP4EQjwsvlY=,sf-bay-area,187.5,37.5
2015-03-01,ldW+l2PmzbyDN38Q2cKswMNO6k0=,sf-bay-area,500,0
2015-03-01,6b8e086+uF3yjICwYmkyjStkr2Y=,sf-bay-area,750,50
2015-03-01,s+CNdbBIjHYCYnme96WpO13N5Tk=,sf-bay-area,250,0
2015-03-01,cbQNhmRdP2lNObiZKtUrBZ6k7RE=,sf-bay-area,500,0
2015-03-01,FXttqP7Xc1aszlvwJl0MKK+ez7U=,sf-bay-area,250,0
2015-03-01,9chMy7swbDZ3sqaDCqLlLUQDsMY=,sf-bay-area,250,0
2015-03-01,3laXJ20VXJNgfEa0zEbBnjD3Cos=,sf-bay-area,750,0
2015-03-01,nHCU9OfsFRequzQshFD1qypEJVc=,sf-bay-area,0,0
2015-03-01,khcezEHqw5MZCSE5QdioEP08ZaI=,other,0,0
2015-03-01,9Jg3aKBW8Ay7Z5E1CzauDtzP6Ks=,sf-bay-area,246,49.2
2015-03-01,JfydLzcp3YymYIJqoP4EQjwsvlY=,sf-bay-area,562.5,37.5
2015-03-01,reeh+9kL/yr34ovWN84LHQ2/L/8=,sf-bay-area,180,0
